"Date","JO_Low","JO_High","JO_Close"
1983/06/20,117,118.45,117.65
1983/06/21,116.55,117.55,117
1983/06/22,116.7,117.25,117.1
1983/06/23,116.25,117.1,116.4
1983/06/24,116,116.4,116.1
1983/06/27,113,114.7,114.3
1983/06/28,113.6,114.45,114.05
1983/06/29,114.1,115.15,114.75
1983/06/30,113.8,115,114.85
1983/07/01,114.85,116,115.65
1983/07/05,115.25,116,115.9
1983/07/06,116.2,116.95,116.85
1983/07/07,116.9,118,117.45
1983/07/08,117.25,117.5,117.35
1983/07/11,117.35,118.25,117.35
1983/07/12,117.1,117.9,117.5
1983/07/13,117.5,118.1,117.5
1983/07/14,116.95,117.5,117.1
1983/07/15,116.55,117.3,116.8
1983/07/18,116.55,117.2,117.2
1983/07/19,117.5,117.85,117.6
1983/07/20,117.55,117.75,117.7
1983/07/21,117.5,117.7,117.5
1983/07/22,117.35,117.75,117.75
1983/07/25,117.55,117.75,117.7
1983/07/26,117.25,117.75,117.25
1983/07/27,117.25,117.65,117.65
1983/07/28,117.25,119.25,118.5
1983/07/29,117.75,118.5,117.85
1983/08/01,117.5,118,117.9
1983/08/02,117.85,118.8,118.25
1983/08/03,118.2,118.9,118.85
1983/08/04,118.45,118.9,118.9
1983/08/05,118.7,119.2,119.2
1983/08/08,119.05,119.5,119.4
1983/08/09,118.5,119.3,118.7
1983/08/10,117.5,118.7,118
1983/08/11,117.6,118.4,118.4
1983/08/12,117.2,118.25,117.7
1983/08/15,117.4,118.25,118.05
1983/08/16,118.25,118.55,118.4
1983/08/17,118.4,118.9,118.9
1983/08/18,118.4,118.75,118.6
1983/08/19,118.3,119,118.5
1983/08/22,119.1,119.8,119.25
1983/08/23,118.7,119.4,118.7
1983/08/24,118.7,119.25,119.2
1983/08/25,116.3,116.8,116.45
1983/08/26,116.35,116.85,116.7
1983/08/29,116.65,116.95,116.7
1983/08/30,116.65,117.25,116.75
1983/08/31,116.75,116.95,116.75
1983/09/01,116.45,116.85,116.45
1983/09/02,116.35,116.7,116.45
1983/09/06,116.2,116.7,116.2
1983/09/07,116.2,116.4,116.25
1983/09/08,116.1,116.8,116.6
1983/09/09,116.6,117.1,117.1
1983/09/12,117.4,119.5,119.3
1983/09/13,118.5,118.9,118.85
1983/09/14,118.25,118.75,118.5
1983/09/15,117.5,118.5,117.55
1983/09/16,116.9,117.8,117.7
1983/09/19,116.5,117.7,117.7
1983/09/20,117.7,119,118.7
1983/09/21,118.6,119.1,119.1
1983/09/22,118.7,119.6,119.4
1983/09/23,119.25,120.1,120.1
1983/09/26,119.25,120.1,119.25
1983/09/27,118.6,119.25,118.6
1983/09/28,118.6,119.1,118.8
1983/09/29,118.6,119.25,119.25
1983/09/30,119.25,119.8,119.25
1983/10/03,119.05,119.35,119.05
1983/10/04,119.25,119.5,119.3
1983/10/05,119.45,119.8,119.5
1983/10/06,119.4,119.8,119.5
1983/10/07,119.8,121,119.9
1983/10/10,118.9,120.1,119.75
1983/10/11,119.25,120.1,120.1
1983/10/12,119.7,120.6,119.7
1983/10/13,124.7,124.7,124.7
1983/10/14,124,125.6,124.7
1983/10/17,124.4,125.35,125.35
1983/10/18,125,125.5,125
1983/10/19,124.75,126.75,126.4
1983/10/20,125.8,127,126.85
1983/10/21,126.5,126.8,126.6
1983/10/24,126.3,126.8,126.3
1983/10/25,120.9,121.6,121.6
1983/10/26,121.8,123,122.9
1983/10/27,122.5,123,122.5
1983/10/28,121.6,123.2,122.55
1983/10/31,122.6,123.75,123.35
1983/11/01,123.1,123.7,123.2
1983/11/02,123.4,123.9,123.75
1983/11/03,123.75,124.25,124.15
1983/11/04,123.4,124.15,123.9
1983/11/07,123.9,126.75,125.5
1983/11/08,124.6,125.45,124.6
1983/11/09,123.55,124.6,124.35
1983/11/10,123.7,124.5,124.4
1983/11/11,123.5,124.85,123.9
1983/11/14,123.3,124.2,123.7
1983/11/15,123.5,125.3,124.4
1983/11/16,123.7,125.1,124.3
1983/11/17,122.5,123.8,123
1983/11/18,122.7,123.3,123.05
1983/11/21,122.9,123.7,122.9
1983/11/22,122.4,122.98,122.65
1983/11/23,122.3,122.9,122.5
1983/11/25,122.3,123.2,123
1983/11/28,123,124.8,124.05
1983/11/29,124,125,124.5
1983/11/30,124.1,124.7,124.1
1983/12/01,123.7,124.5,123.85
1983/12/02,123.9,124.1,123.9
1983/12/05,123.6,124.45,124
1983/12/06,123.95,124.2,124
1983/12/07,124.15,124.7,124.7
1983/12/08,124.3,124.6,124.3
1983/12/09,124.3,124.8,124.5
1983/12/12,123,124.5,123.6
1983/12/13,123.5,124.6,123.8
1983/12/14,123.1,123.75,123.4
1983/12/15,123.05,124,123.6
1983/12/16,123.4,123.8,123.7
1983/12/19,123.8,124.8,124.4
1983/12/20,123.2,124.4,124
1983/12/21,122.8,123.95,123.6
1983/12/22,124,124.8,124.3
1983/12/23,124,124.5,124.25
1983/12/27,130.55,130.55,130.55
1983/12/28,135.55,135.55,135.55
1983/12/29,140.55,140.55,140.55
1983/12/30,144.5,148.55,144.75

